[2026-07-06 13:15:34] START portfolio OOS crypto [15m] pairs=2
[2026-07-06 13:19:49] 2026-07-06T11:15:00 XRP-USD/triple_tf_confluence equity=20000.00 trades=0 -> hold
[2026-07-06 13:24:11] 2026-07-06T11:15:00 ETH-USD/donchian_bidirectional equity=20000.00 trades=0 -> hold
[2026-07-06 13:30:29] 2026-07-06T11:30:00 XRP-USD/triple_tf_confluence equity=20000.00 trades=0 -> hold
[2026-07-06 13:34:53] 2026-07-06T11:30:00 ETH-USD/donchian_bidirectional equity=20000.00 trades=0 -> hold
[2026-07-06 13:41:10] 2026-07-06T11:30:00 XRP-USD/triple_tf_confluence equity=20000.00 trades=0 -> skip
[2026-07-06 13:45:33] 2026-07-06T11:45:00 ETH-USD/donchian_bidirectional equity=20000.00 trades=0 -> hold
[2026-07-06 13:51:50] 2026-07-06T11:45:00 XRP-USD/triple_tf_confluence equity=20000.00 trades=0 -> hold
[2026-07-06 13:56:20] 2026-07-06T11:45:00 ETH-USD/donchian_bidirectional equity=20000.00 trades=0 -> skip
[2026-07-06 14:02:46] 2026-07-06T12:00:00 XRP-USD/triple_tf_confluence equity=20000.00 trades=0 -> hold
[2026-07-06 14:07:06] 2026-07-06T12:00:00 ETH-USD/donchian_bidirectional equity=20000.00 trades=0 -> hold
[2026-07-06 14:13:22] 2026-07-06T12:00:00 XRP-USD/triple_tf_confluence equity=20000.00 trades=0 -> skip
